document_id,label,probability
9700002943,114,0.0003
9700002943,115,0.0003
9700002943,211,0.0003
9700002943,212,0.0003
9700002943,213,0.0004
9700002943,221,0.0003
9700002943,236,0.0002
9700002943,237,0.0005
9700002931,321,0.0029
9700002931,322,0.0008
9700002931,323,0.0002
9700002931,324,0.0088
9700002931,325,0.0036
9700002931,326,0.0005
9700002931,327,0.0004
9700002931,331,0.0006
9700002931,332,0.0009
9700002931,333,0.0008
9700002931,334,0.0004
9700002931,335,0.0009
9700002931,336,0.0028
9700002931,337,0.0021
9700002931,339,0.0005
9700002931,423,0.0104
9700002931,424,0.0289
9700002931,425,0.0005
9700002931,441,0.0015
9700002931,443,0.0003
9700002931,444,0.0011
9700002931,445,0.0012
9700002931,446,0.0005
9700002931,447,0.002
9700002931,448,0.0009
9700002931,451,0.0004
9700002931,452,0.0005
9700002931,453,0.0007
9700002931,454,0.0531
9700002931,481,0.0804
9700002931,482,0.0012
9700002931,483,0.0009
9700002931,484,0.0002
9700002931,485,0.0003
9700002931,486,0.0002
9700002931,487,0.0005
9700002931,488,0.008
9700002931,493,0.0009
9700002931,511,0.0009
9700002931,512,0.0023
9700002931,515,0.0026
9700002931,517,0.0004
9700002931,518,0.0004
9700002931,519,0.0002
9700002931,521,0.0002
9700002931,522,0.0003
9700002931,523,0.0002
9700002931,524,0.0004
9700002931,525,0.0001
9700002931,531,0.0003
9700002931,532,0.0006
9700002931,541,0.0
9700002931,551,0.0003
9700002931,561,0.0017
9700002931,562,0.0005
9700002931,611,0.0008
9700002931,621,0.0006
9700002931,622,0.0005
9700002931,623,0.0004
9700002931,624,0.0002
9700002931,711,0.0006
9700002931,712,0.0009
9700002931,713,0.0004
9700002931,721,0.0007
9700002931,722,0.0009
9700002931,811,0.001
9700002931,812,0.0005
9700002931,813,0.0003
9700002931,814,0.0005
9700002931,921,0.0028
9700002931,922,0.0024
9700002931,924,0.0005
9700002931,928,0.0021
9700002943,238,0.0007
9700002943,311,0.0016
9700002943,312,0.0013
9700002943,313,0.0005
9700002943,314,0.0004
9700002943,321,0.0004
9700002943,322,0.0002
9700002943,323,0.0003
9700002943,324,0.0008
9700002943,325,0.0001
9700002943,326,0.0021
9700002943,327,0.0005
9700002943,331,0.0002
9700002943,332,0.0004
9700002943,333,0.0001
9700002943,334,0.0005
9700002943,335,0.0004
9700002943,336,0.0002
9700002943,337,0.0004
9700002943,339,0.0003
9700002943,423,0.0004
9700002943,424,0.0003
9700002943,425,0.0004
9700002943,441,0.0017
9700002943,443,0.0003
9700002943,444,0.0004
9700002943,445,0.0006
9700002943,446,0.0003
9700002943,447,0.0005
9700002943,448,0.0006
9700002943,451,0.0005
9700002943,452,0.001
9700002943,453,0.0004
9700002943,454,0.0005
9700002943,481,0.1477
9700002943,482,0.0003
9700002943,483,0.0004
9700002872,922,0.0056
9700002872,924,0.0003
9700002872,928,0.0
9700002943,484,0.0005
9700002943,485,0.0032
9700002943,486,0.0004
9700002943,487,0.0004
9700002943,488,0.0084
9700002943,493,0.0003
9700002943,511,0.0004
9700002943,512,0.0007
9700002943,515,0.0202
9700002943,517,0.0012
9700002943,518,0.0003
9700002943,519,0.0003
9700002943,521,0.0005
9700002943,522,0.0009
9700002943,523,0.0008
9700002943,524,0.0016
9700002943,525,0.0007
9700002943,531,0.0003
9700002943,532,0.0003
9700002943,541,0.0001
9700002943,551,0.0003
9700002943,561,0.0001
9700002943,562,0.0002
9700002943,611,0.0096
9700002943,621,0.0006
9700002943,622,0.0005
9700002943,623,0.0002
9700002943,624,0.0002
9700002943,711,0.0003
9700002943,712,0.0005
9700002943,713,0.0004
9700002943,721,0.0004
9700002943,722,0.0001
9700002943,811,0.0004
9700002943,812,0.0013
9700002943,813,0.0003
9700002943,814,0.0004
9700002943,921,0.0005
9700002943,922,0.0004
9700002943,924,0.0004
9700002943,928,0.0008
9700002462,111,0.0051
9700002643,111,0.0004
9700002643,112,0.0065
9700002643,113,0.0005
9700002643,114,0.0003
9700002643,115,0.0005
9700002643,211,0.0002
9700002643,212,0.0001
9700002643,213,0.0003
9700002643,221,0.0001
9700002643,236,0.0001
9700002643,237,0.002
9700002643,238,0.0006
9700002643,311,0.001
9700002643,312,0.0007
9700002643,313,0.0006
9700002643,314,0.0005
9700002643,321,0.0002
9700002643,322,0.0001
9700002643,323,0.0003
9700002643,324,0.0001
9700002643,325,0.0
9700002643,326,0.0004
9700002643,327,0.0003
9700002643,331,0.0004
9700002643,332,0.0005
9700002643,333,0.0003
9700002643,334,0.0002
9700002643,335,0.0004
9700002643,336,0.0001
9700002643,337,0.0004
9700002643,339,0.0003
9700002643,423,0.0019
9700002643,424,0.0032
9700002643,425,0.0025
9700002643,441,0.0001
9700002643,443,0.0005
9700002643,444,0.0007
9700002643,445,0.0002
9700002643,446,0.0003
9700002643,447,0.0003
9700002462,112,0.0002
9700002462,113,0.0013
9700002462,114,0.0002
9700002462,115,0.0005
9700002462,211,0.0007
9700002462,212,0.0009
9700002462,213,0.0006
9700002462,221,0.002
9700002462,236,0.0509
9700002462,237,0.0018
9700002462,238,0.0008
9700002462,311,0.0029
9700002462,312,0.0009
9700002462,313,0.0009
9700002462,314,0.0005
9700002462,321,0.001
9700002462,322,0.0038
9700002643,448,0.0006
9700002643,451,0.0003
9700002643,452,0.0002
9700002643,453,0.0017
9700002643,454,0.0
9700002643,481,0.113
9700002643,482,0.0006
9700002643,483,0.0005
9700002643,484,0.0003
9700002643,485,0.0006
9700002643,486,0.0001
9700002643,487,0.0003
9700002643,488,0.0003
9700002643,493,0.0003
9700002643,511,0.0008
9700002643,512,0.0018
9700002643,515,0.1186
9700002462,323,0.0004
9700002462,324,0.0004
9700002462,325,0.0011
9700002462,326,0.0003
9700002462,327,0.0
9700002462,331,0.0013
9700002462,332,0.0009
9700002462,333,0.0
9700002462,334,0.0018
9700002462,335,0.0002
9700002462,336,0.0002
9700002462,337,0.0005
9700002462,339,0.0004
9700002462,423,0.001
9700002462,424,0.0
9700002462,425,0.0002
9700002462,441,0.0108
9700002462,443,0.0006
9700002462,444,0.0004
9700002462,445,0.0086
9700002462,446,0.0005
9700002462,447,0.0004
9700002462,448,0.0014
9700002462,451,0.0007
9700002462,452,0.0017
9700002462,453,0.0009
9700002462,454,0.0
9700002462,481,0.0047
9700002462,482,0.0005
9700002462,483,0.0012
9700002462,484,0.0002
9700002462,485,0.0012
9700002462,486,0.0999
9700002462,487,0.0012
9700002462,488,0.0008
9700002462,493,0.0005
9700002462,511,0.0009
9700002462,512,0.0025
9700002462,515,0.002
9700002462,517,0.0009
9700002462,518,0.0008
9700002462,519,0.0007
9700002462,521,0.0022
9700002462,522,0.0021
9700002462,523,0.0026
9700002462,524,0.0015
9700002462,525,0.0013
9700002462,531,0.0002
9700002462,532,0.0006
9700002462,541,0.0031
9700002462,551,0.0004
9700002462,561,0.0357
9700002462,562,0.0001
9700002462,611,0.0004
9700002462,621,0.0008
9700002462,622,0.0007
9700002462,623,0.0002
9700002462,624,0.0011
